#body,head,ruleId,isAgg,isTx
transfer,totalIn,0,true,false
burn,allBurn,1,true,false
balanceOf,transfer,2,false,true
msgSender,transfer,2,false,true
transfer,totalOut,3,true,false
burn,totalBurn,4,true,false
balanceOf,operatorSend,5,false,true
msgSender,operatorSend,5,false,true
msgSender,operatorBurn,7,false,true
balanceOf,operatorBurn,7,false,true
operators,operatorBurn,7,false,true
allMint,totalSupply,8,false,false
allBurn,totalSupply,8,false,false
msgSender,mint,9,false,true
operators,inconsistentOperator,10,false,false
defaultOperator,inconsistentOperator,10,false,false
operatorSend,transfer,11,false,false
balanceOf,burn,12,false,true
msgSender,burn,12,false,true
totalMint,balanceOf,13,false,false
totalOut,balanceOf,13,false,false
totalBurn,balanceOf,13,false,false
totalIn,balanceOf,13,false,false
msgSender,revokedDefaultOperator,14,false,true
defaultOperator,revokedDefaultOperator,14,false,true
allowanceTotal,allowance,15,false,false
spentTotal,allowance,15,false,false
mint,allMint,16,true,false
msgSender,operatorBurn,17,false,true
defaultOperator,operatorBurn,17,false,true
revokedDefaultOperator,operatorBurn,17,false,true
balanceOf,operatorBurn,17,false,true
transferFrom,transfer,18,false,false
mint,totalMint,19,true,false
operatorBurn,burn,21,false,false
transferFrom,spentTotal,22,true,false
defaultOperator,operators,23,false,true
msgSender,operators,23,false,true
balanceOf,operatorSend,24,false,true
operators,operatorSend,24,false,true
msgSender,operatorSend,24,false,true
allowance,transferFrom,25,false,true
msgSender,transferFrom,25,false,true
balanceOf,transferFrom,25,false,true
defaultOperator,operatorSend,26,false,true
balanceOf,operatorSend,26,false,true
revokedDefaultOperator,operatorSend,26,false,true
msgSender,operatorSend,26,false,true
allowance,increaseAllowance,27,false,true
msgSender,increaseAllowance,27,false,true
msgSender,operators,28,false,true
defaultOperator,operators,28,false,true
msgSender,revokedDefaultOperator,29,false,true
defaultOperator,revokedDefaultOperator,29,false,true
increaseAllowance,allowanceTotal,30,true,false